Geo Point;Opérateur de Mobilité;Aménageur;id_borne;nom_borne;numero_rue;libelle_voie;commune;code_postal;code_insee;marque_borne;modele_borne;Interopérabilité;type_chargement;date_mise_en_service;id_prise;ordre_prise;puissance_prise;connecteur_disponible_prise;longitude;latitude;geolocalisation
43.6362770022,1.46219000249;Révéo;Toulouse Metropole;STATION-FR-M31-P31555-016;TOULOUSE - Rue Serge Gainsbourg;;Rue Serge Gainsbourg;Toulouse;31200;31555;CAHORS;City 2;Mobilecity,Gireve,KiwhiOCPI;normal;2019-04-12;FR*M31*E31555*016*1;1;22;EF,T2,T3;1.46219;43.636277;43.636277,1.46219
43.6181950011,1.46668399948;Révéo;Toulouse Metropole;STATION-FR-M31-P31555-020;TOULOUSE - Av. Yves Brunaud;88;Av. Yves Brunaud;Toulouse;31500;31555;CAHORS;City 2;Mobilecity,Gireve,KiwhiOCPI;normal;2019-11-12;FR*M31*E31555*020*1;1;22;EF,T2,T3;1.466684;43.618195;43.618195,1.466684
43.6182129995,1.46668354727;Révéo;Toulouse Metropole;STATION-FR-M31-P31555-020;TOULOUSE - Av. Yves Brunaud;88;Av. Yves Brunaud;Toulouse;31500;31555;CAHORS;City 2;Mobilecity,Gireve,KiwhiOCPI;normal;2019-11-12;FR*M31*E31555*020*2;2;22;EF,T2,T3;1.466684;43.618195;43.618195,1.466684
43.5737629973,1.42404353367;Révéo;Toulouse Metropole;STATION-FR-M31-P31555-022;TOULOUSE - Route D'Espagne;80;Route D'Espagne;Toulouse;31100;31555;CAHORS;City 2;Mobilecity,Gireve,KiwhiOCPI;normal;2019-12-19;FR*M31*E31555*022*2;2;22;EF,T2,T3;1.424044;43.573745;43.573745,1.424044
43.6009500002,1.46208900012;Révéo;Toulouse Metropole;STATION-FR-M31-P31555-023;TOULOUSE - Av. Camille Pujol;52;Av. Camille Pujol;Toulouse;31500;31555;CAHORS;City 2;Mobilecity,Gireve,KiwhiOCPI;normal;2020-03-02;FR*M31*E31555*023*1;1;22;EF,T2,T3;1.462089;43.60095;43.60095,1.462089
43.6094009967,1.4975115549;Révéo;Toulouse Metropole;STATION-FR-M31-P31044-001;BALMA - Place Du 12 Mars 1962;;Place Du 12 Mars 1962;Balma;31130;31044;CAHORS;City 2;Mobilecity,Gireve,KiwhiOCPI;normal;2018-05-18;FR*M31*E31044*001*2;2;22;EF,T2,T3;1.497512;43.609383;43.609383,1.497512
43.6556830011,1.37130499708;Révéo;Toulouse Metropole;STATION-FR-M31-P31069-001;BLAGNAC - Av. D'Andromède;23/01;Av. D'Andromède;Blagnac;31700;31069;CAHORS;City 2;Mobilecity,Gireve,KiwhiOCPI;normal;2018-01-26;FR*M31*E31069*001*1;1;22;EF,T2,T3;1.371305;43.655683;43.655683,1.371305
43.616334,1.24274800169;Révéo;Toulouse Metropole;STATION-FR-M31-P31088-001;BRAX - Place Du Vidalet;;Place Du Vidalet;Brax;31490;31088;CAHORS;City 2;Mobilecity,Gireve,KiwhiOCPI;normal;2019-02-15;FR*M31*E31088*001*1;1;22;EF,T2,T3;1.242748;43.616334;43.616334,1.242748
43.6787830017,1.39209600099;Révéo;Toulouse Metropole;STATION-FR-M31-P31182-001;FENOUILLET - Jean Jaures, Place De La Mairie;;Jean Jaures, Place De La Mairie;Fenouillet;31150;31182;CAHORS;City 2;Mobilecity,Gireve,KiwhiOCPI;normal;2019-08-23;FR*M31*E31182*001*1;1;22;EF,T2,T3;1.392096;43.678783;43.678783,1.392096
43.7117679971,1.3934305287;Révéo;Toulouse Metropole;STATION-FR-M31-P31293-001;LESPINASSE - Route De L'Hers;;Route De L'Hers;Lespinasse;31150;31293;CAHORS;City 2;Mobilecity,Gireve,KiwhiOCPI;normal;2018-11-26;FR*M31*E31293*001*1;1;22;EF,T2,T3;1.393431;43.71175;43.71175,1.393431
43.7117499996,1.39343100324;Révéo;Toulouse Metropole;STATION-FR-M31-P31293-001;LESPINASSE - Route De L'Hers;;Route De L'Hers;Lespinasse;31150;31293;CAHORS;City 2;Mobilecity,Gireve,KiwhiOCPI;normal;2018-11-26;FR*M31*E31293*001*2;2;22;EF,T2,T3;1.393431;43.71175;43.71175,1.393431
43.5851049978,1.53080099692;Révéo;Toulouse Metropole;STATION-FR-M31-P31445-001;QUINT-FONSEGRIVES - Route De Castres;;Route De Castres;Quint-Fonsegrives;31130;31445;CAHORS;City 2;Mobilecity,Gireve,KiwhiOCPI;normal;2018-09-14;FR*M31*E31445*001*2;2;22;EF,T2,T3;1.530801;43.585105;43.585105,1.530801
43.6935119953,1.41315553463;Révéo;Toulouse Metropole;STATION-FR-M31-P31467-001;SAINT ALBAN - Rue Des Lilas;;Rue Des Lilas;Saint-Alban;31140;31467;CAHORS;City 2;Mobilecity,Gireve,KiwhiOCPI;normal;2018-01-26;FR*M31*E31467*001*2;2;22;EF,T2,T3;1.413156;43.693494;43.693494,1.413156
43.6658589966,1.50425756192;Révéo;Toulouse Metropole;STATION-FR-M31-P31488-001;ST JEAN - Rue Des Roses;;Rue Des Roses;Saint-Jean;31240;31488;CAHORS;City 2;Mobilecity,Gireve,KiwhiOCPI;normal;2018-09-14;FR*M31*E31488*001*2;2;22;EF,T2,T3;1.504258;43.665841;43.665841,1.504258
43.5503570005,1.53773799812;Révéo;Toulouse Metropole;STATION-FR-M31-P31506-001;SAINT ORENS - Rue Des Muriers;4;Rue Des Muriers;Saint-Orens-de-Gameville;31650;31506;CAHORS;City 2;Mobilecity,Gireve,KiwhiOCPI;normal;2018-07-23;FR*M31*E31506*001*1;1;22;EF,T2,T3;1.537738;43.550357;43.550357,1.537738
