Code établissement;Appellation officielle;Dénomination principale;Patronyme uai;Secteur Public/Privé;Adresse;Lieu dit;Boite postale;Code postal;Localite d'acheminement;Commune;Coordonnee X;Coordonnee Y;EPSG;Latitude;Longitude;Qualité d'appariement;Localisation;Code nature;Nature;Code état établissement;Etat établissement;Code département;Code région;Code académie;Code commune;Département;Région;Académie;Position;secteur_prive_code_type_contrat;secteur_prive_libelle_type_contrat;code_ministere;libelle_ministere;date_ouverture
0421952U;Ecole élémentaire Chavanelle;ECOLE ELEMENTAIRE PUBLIQUE;CHAVANELLE ELEMENTAIRE;Public;16 rue Marcellin Allard;;;42000;ST ETIENNE;Saint-Etienne;808893.5;6482803.4;EPSG:2154;45.43601991883037;4.3928194040410835;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4360199188,4.39281940404;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1987-09-01
0422021U;Ecole primaire Chaléassière;ECOLE PRIMAIRE;CHALEASSIERE PRIMAIRE;Public;6 rue Jean François Revollier;;;42000;ST ETIENNE;Saint-Etienne;807954.8;6484793.0;EPSG:2154;45.454081178237715;4.38126038521043;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4540811782,4.38126038521;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1991-09-01
0422090U;Ecole primaire privée Saint François;ECOLE PRIMAIRE PRIVEE;ST FRANCOIS;Privé;7 rue Seguin;;;42100;ST ETIENNE;Saint-Etienne;809658.9;6483167.5;EPSG:2154;45.43917598230338;4.402690040449439;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4391759823,4.40269004045;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1994-09-01
0422106L;Ecole primaire privée Sainte Marie;ECOLE PRIMAIRE PRIVEE;STE MARIE;Privé;9 rue du Jeu de l'Arc;;;42000;ST ETIENNE;Saint-Etienne;808776.9;6483163.2;EPSG:2154;45.439277776652396;4.3914094078065755;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4392777767,4.39140940781;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1995-09-01
0422139X;Ecole élémentaire Gaspard Monge;ECOLE ELEMENTAIRE PUBLIQUE;MONGE;Public;7 rue Gaspard Monge;;;42100;ST ETIENNE;Saint-Etienne;809432.3;6483247.5;EPSG:2154;45.4399324436665;4.399810257637199;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4399324437,4.39981025764;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1998-09-01
0422167C;Ecole élémentaire Montreynaud St Saëns;ECOLE ELEMENTAIRE PUBLIQUE;MONTREYNAUD ST SAENS ELE;Public;13 rue Jean-Sébastien Bach;;;42000;ST ETIENNE;Saint-Etienne;808867.7;6486880.6;EPSG:2154;45.47273191159936;4.39340964323533;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4727319116,4.39340964324;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;2000-09-01
0420651E;Ecole maternelle Chavanelle;ECOLE MATERNELLE PUBLIQUE;CHAVANELLE MATERNELLE;Public;20 rue Marcellin Allard;;;42000;ST ETIENNE;Saint-Etienne;808910.9;6482748.4;EPSG:2154;45.435521979779075;4.393029505920757;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4355219798,4.39302950592;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-07-15
0420999H;Section d'enseignement professionnel du Lycée polyvalent privé La Salésienne;SECTION ENSEIGT PROFES.PRIVEE;LPO PR LA SALESIENNE;Privé;35  RUE DE LA RICHELANDIERE;;;42100;ST ETIENNE;Saint-Etienne;809610.1;6483144.0;EPSG:2154;45.438972211515114;4.402060614850185;Correcte;Numéro de rue;334;SECTION D ENSEIGNEMENT PROFESSIONNEL;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4389722115,4.40206061485;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1967-04-18
0421343G;Ecole primaire privée La Grande Eglise;ECOLE PRIMAIRE PRIVEE;LA GRANDE EGLISE;Privé;8 rue Pierre et Marie Curie;;;42000;ST ETIENNE;Saint-Etienne;808057.5;6483031.9;EPSG:2154;45.438209419667864;4.382179761139161;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4382094197,4.38217976114;31;CONTRAT ASSOCIATION PARTIE DES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1971-03-26
0421351R;Ecole primaire privée Saint Vincent de Paul;ECOLE PRIMAIRE PRIVEE;SAINT VINCENT DE PAUL;Privé;18 rue de la Liberté;;;42000;ST ETIENNE;Saint-Etienne;809725.0;6484374.8;EPSG:2154;45.45003494272721;4.403809893998472;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4500349427,4.403809894;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1971-03-26
