Geo Point;Geo Shape;nom;num_station;nb_bornettes;en_service;rue;mot_directeur;no;nrivoli;commune;code_insee;locations_2016;oid;locations_2019
43.5940543455,1.46509048333;"{""type"": ""MultiPoint"", ""coordinates"": [[1.465090483334294, 43.594054345477915]]}";LEYGUE RIEUX;206;18;oui;AV ARMAND LEYGUE;LEYGUE (AV ARMAND LEYGUE);20;3105550496;Toulouse;31555;4884;478;6789
43.5860888192,1.48294081415;"{""type"": ""MultiPoint"", ""coordinates"": [[1.482940814150451, 43.586088819216556]]}";FIRMIS;210;18;oui;CHE DE LA TERRASSE;TERRASSE (CHE DE LA TERRASSE);42;3105558436;Toulouse;31555;1024;482;1411
43.6152177968,1.46545891345;"{""type"": ""MultiPoint"", ""coordinates"": [[1.465458913452781, 43.615217796765904]]}";CRETES CHAUMIERES;212;17;oui;RUE DE LA CHAUMIERE;CHAUMIERE (RUE DE LA CHAUMIERE);0;3105551989;Toulouse;31555;1189;486;3033
43.6238241259,1.47593975587;"{""type"": ""MultiPoint"", ""coordinates"": [[1.475939755873737, 43.62382412586756]]}";METRO ARGOULETS;215;20;oui;RUE DE GAILLAC;GAILLAC (RUE DE GAILLAC);8;3105553668;Toulouse;31555;7379;489;5246
43.614565694,1.41121089957;"{""type"": ""MultiPoint"", ""coordinates"": [[1.411210899567453, 43.614565694008135]]}";PUCCINI BLAGNAC;219;18;oui;RUE GIACOMO PUCCINI;PUCCINI (RUE GIACOMO PUCCINI);35;3105553888;Toulouse;31555;4778;491;3126
43.6355844115,1.46426701173;"{""type"": ""MultiPoint"", ""coordinates"": [[1.464267011733668, 43.63558441150911]]}";CROIX DAURADE BIBLIOTHEQUE;170;17;oui;CHE DE NICOL;NICOL (CHE DE NICOL);164;3105556262;Toulouse;31555;3742;505;3947
43.6280995726,1.45149691297;"{""type"": ""MultiPoint"", ""coordinates"": [[1.451496912972013, 43.62809957263238]]}";LOUIN RAYNAL;234;17;oui;RUE PIERRETTE LOUIN;LOUIN (RUE PIERRETTE LOUIN);4;3105556921;Toulouse;31555;4153;506;4875
43.6170088756,1.40838826425;"{""type"": ""MultiPoint"", ""coordinates"": [[1.408388264250024, 43.61700887558667]]}";JOB BLAGNAC;240;20;oui;RTE DE BLAGNAC;BLAGNAC (RTE DE BLAGNAC);112;3105551180;Toulouse;31555;8963;511;8453
43.6363599023,1.43899830066;"{""type"": ""MultiPoint"", ""coordinates"": [[1.438998300664664, 43.63635990231455]]}";LAUNAGUET AUDIBERT;247;20;oui;RTE DE LAUNAGUET;LAUNAGUET (RTE DE LAUNAGUET);112;3105555096;Toulouse;31555;2897;514;1930
43.599839619,1.41509868701;"{""type"": ""MultiPoint"", ""coordinates"": [[1.415098687010607, 43.599839618975885]]}";GRANDE BRETAGNE BADIOU;245;20;oui;AV DE GRANDE BRETAGNE;BRETAGNE (AV DE GRANDE BRETAGNE);103B;3105553984;Toulouse;31555;7506;516;8404
43.6143142236,1.4617646007;"{""type"": ""MultiPoint"", ""coordinates"": [[1.461764600696849, 43.61431422357139]]}";JOLIMONT;251;20;oui;AV LEON BLUM;BLUM (AV LEON BLUM);26;3105555152;Toulouse;31555;3626;519;9142
43.5939923678,1.4102831821;"{""type"": ""MultiPoint"", ""coordinates"": [[1.410283182097567, 43.59399236780249]]}";LOMBEZ HIPPODROME;194;20;oui;AV DE LOMBEZ;LOMBEZ (AV DE LOMBEZ);93;3105555308;Toulouse;31555;9812;522;8241
43.5664782977,1.4752688693;"{""type"": ""MultiPoint"", ""coordinates"": [[1.475268869303666, 43.56647829767913]]}";BELIN SUP AERO;224;20;oui;AV EDOUARD BELIN;BELIN (AV EDOUARD BELIN);10;3105552894;Toulouse;31555;6254;525;3536
43.6383040631,1.46502966621;"{""type"": ""MultiPoint"", ""coordinates"": [[1.465029666208329, 43.63830406314284]]}";MAIRIE CROIX DAURADE;249;18;oui;RTE D ALBI;ALBI (RTE D ALBI);159;3105550124;Toulouse;31555;2536;528;2047
